State,County,Tract,HHSize,HHWorkers,HHIncome,nHHs
6,61,20101,4+,1,med,6
6,61,20101,4+,2,med,9
6,61,20101,4+,3+,med,3
6,61,20102,1,0,high,46
6,61,20102,1,1,high,29
6,61,20102,2,0,high,50
6,61,20102,2,1,high,39
6,61,20102,2,2,high,32
6,61,20102,3,0,high,5
6,61,20102,3,1,high,13
6,61,20102,3,2,high,16
6,61,20102,3,3+,high,4
6,61,20102,4+,0,high,3
6,61,20102,4+,1,high,15
6,61,20102,4+,2,high,22
6,61,20102,4+,3+,high,8
6,61,20102,1,0,low,38
6,61,20102,1,1,low,24
6,61,20102,2,0,low,42
6,61,20102,2,1,low,33
6,61,20102,2,2,low,27
6,61,20102,3,0,low,4
6,61,20102,3,1,low,11
6,61,20102,3,2,low,13
6,61,20102,3,3+,low,3
6,61,20102,4+,0,low,2
6,61,20102,4+,1,low,13
6,61,20102,4+,2,low,18
6,61,20102,4+,3+,low,7
6,61,20102,1,0,med,27
6,61,20102,1,1,med,17
6,61,20102,2,0,med,29
6,61,20102,2,1,med,23
6,61,20102,2,2,med,19
6,61,20102,3,0,med,3
6,61,20102,3,1,med,8
6,61,20102,3,2,med,9
6,61,20102,3,3+,med,2
6,61,20102,4+,0,med,2
6,61,20102,4+,1,med,9
6,61,20102,4+,2,med,13
6,61,20102,4+,3+,med,5
6,61,20103,1,0,high,30
6,61,20103,1,1,high,19
6,61,20103,2,0,high,33
6,61,20103,2,1,high,26
6,61,20103,2,2,high,21
6,61,20103,3,0,high,3
6,61,20103,3,1,high,9
6,61,20103,3,2,high,10
6,61,20103,3,3+,high,2
6,61,20103,4+,0,high,2
6,61,20103,4+,1,high,10
6,61,20103,4+,2,high,14
6,61,20103,4+,3+,high,5
6,61,20103,1,0,low,69
6,61,20103,1,1,low,43
6,61,20103,2,0,low,74
6,61,20103,2,1,low,58
6,61,20103,2,2,low,48
6,61,20103,3,0,low,7
6,61,20103,3,1,low,19
6,61,20103,3,2,low,23
6,61,20103,3,3+,low,6
6,61,20103,4+,0,low,4
6,61,20103,4+,1,low,22
6,61,20103,4+,2,low,33
6,61,20103,4+,3+,low,12
6,61,20103,1,0,med,27
6,61,20103,1,1,med,17
6,61,20103,2,0,med,30
6,61,20103,2,1,med,23
6,61,20103,2,2,med,19
6,61,20103,3,0,med,3
6,61,20103,3,1,med,8
6,61,20103,3,2,med,9
6,61,20103,3,3+,med,2
6,61,20103,4+,0,med,2
6,61,20103,4+,1,med,9
6,61,20103,4+,2,med,13
6,61,20103,4+,3+,med,5
6,61,20104,1,0,high,47
6,61,20104,1,1,high,29
6,61,20104,2,0,high,51
6,61,20104,2,1,high,40
6,61,20104,2,2,high,33
6,61,20104,3,0,high,5
6,61,20104,3,1,high,13
6,61,20104,3,2,high,16
6,61,20104,3,3+,high,4
6,61,20104,4+,0,high,3
6,61,20104,4+,1,high,15
6,61,20104,4+,2,high,23
6,61,20104,4+,3+,high,8
6,61,20104,1,0,low,83
6,61,20104,1,1,low,52
6,61,20104,2,0,low,90
6,61,20104,2,1,low,70
6,61,20104,2,2,low,58
6,61,20104,3,0,low,8
6,61,20104,3,1,low,24
6,61,20104,3,2,low,28
6,61,20104,3,3+,low,7
6,61,20104,4+,0,low,5
6,61,20104,4+,1,low,27
6,61,20104,4+,2,low,40
6,61,20104,4+,3+,low,14
6,61,20104,1,0,med,33
6,61,20104,1,1,med,21
6,61,20104,2,0,med,36
6,61,20104,2,1,med,28
6,61,20104,2,2,med,23
6,61,20104,3,0,med,3
6,61,20104,3,1,med,9
6,61,20104,3,2,med,11
6,61,20104,3,3+,med,3
6,61,20104,4+,0,med,2
6,61,20104,4+,1,med,11
6,61,20104,4+,2,med,16
6,61,20104,4+,3+,med,6
6,61,20105,1,0,high,95
6,61,20105,1,1,high,59
6,61,20105,2,0,high,103
6,61,20105,2,1,high,80
6,61,20105,2,2,high,66
6,61,20105,3,0,high,10
6,61,20105,3,1,high,27
6,61,20105,3,2,high,32
6,61,20105,3,3+,high,8
6,61,20105,4+,0,high,6
6,61,20105,4+,1,high,31
6,61,20105,4+,2,high,45
6,61,20105,4+,3+,high,16
6,61,20105,1,0,low,106
6,61,20105,1,1,low,66
6,61,20105,2,0,low,115
6,61,20105,2,1,low,90
6,61,20105,2,2,low,74
6,61,20105,3,0,low,11
6,61,20105,3,1,low,30
6,61,20105,3,2,low,36
6,61,20105,3,3+,low,9
6,61,20105,4+,0,low,6
6,61,20105,4+,1,low,35
6,61,20105,4+,2,low,51
6,61,20105,4+,3+,low,18
6,61,20105,1,0,med,55
6,61,20105,1,1,med,34
6,61,20105,2,0,med,60
6,61,20105,2,1,med,47
6,61,20105,2,2,med,38
6,61,20105,3,0,med,6
6,61,20105,3,1,med,16
6,61,20105,3,2,med,19
6,61,20105,3,3+,med,5
6,61,20105,4+,0,med,3
6,61,20105,4+,1,med,18
6,61,20105,4+,2,med,26
6,61,20105,4+,3+,med,9
6,61,20106,1,0,high,177
6,61,20106,1,1,high,110
6,61,20106,2,0,high,192
6,61,20106,2,1,high,150
6,61,20106,2,2,high,123
6,61,20106,3,0,high,18
6,61,20106,3,1,high,50
6,61,20106,3,2,high,61
6,61,20106,3,3+,high,15
6,61,20106,4+,0,high,11
6,61,20106,4+,1,high,58
6,61,20106,4+,2,high,85
6,61,20106,4+,3+,high,30
6,61,20106,1,0,low,93
6,61,20106,1,1,low,58
6,61,20106,2,0,low,101
6,61,20106,2,1,low,79
6,61,20106,2,2,low,65
6,61,20106,3,0,low,9
6,61,20106,3,1,low,26
6,61,20106,3,2,low,32
6,61,20106,3,3+,low,8
6,61,20106,4+,0,low,6
6,61,20106,4+,1,low,30
6,61,20106,4+,2,low,45
6,61,20106,4+,3+,low,16
6,61,20106,1,0,med,94
6,61,20106,1,1,med,58
6,61,20106,2,0,med,102
6,61,20106,2,1,med,79
6,61,20106,2,2,med,65
6,61,20106,3,0,med,10
6,61,20106,3,1,med,27
