AGE,ENROLL,ESR,HOURS,HHID
18,2,6,0,294
14,2,0,0,294
12,2,0,0,294
9,2,0,0,294
58,1,1,40,295
55,1,1,45,295
26,1,1,45,296
25,1,1,40,296
50,1,6,0,297
41,1,6,0,297
2,0,0,0,297
30,1,1,40,298
27,1,1,40,298
43,1,1,40,299
18,1,6,0,299
14,2,0,0,299
60,1,6,0,300
88,1,6,0,301
80,1,6,0,301
38,1,1,40,302
54,1,1,30,303
61,1,6,0,304
20,1,3,0,304
55,1,1,24,305
52,1,1,70,305
22,2,1,30,305
22,1,1,40,305
62,1,1,30,306
55,1,6,0,306
67,1,1,50,307
67,1,1,4,307
84,1,6,0,308
82,1,6,0,308
47,1,1,40,309
49,1,3,35,310
30,1,6,0,311
29,1,6,0,311
7,2,0,0,311
4,1,0,0,311
4,1,0,0,311
3,1,0,0,311
0,0,0,0,311
27,1,1,40,312
23,2,1,25,312
42,1,1,40,313
40,1,1,40,313
11,2,0,0,313
8,2,0,0,313
36,1,1,56,314
34,1,3,7,314
10,2,0,0,314
8,2,0,0,314
4,3,0,0,314
22,1,3,40,315
21,1,1,40,315
67,1,6,0,316
64,1,6,0,316
30,1,1,40,317
29,1,1,40,317
6,2,0,0,317
4,2,0,0,317
2,0,0,0,317
66,1,6,0,318
57,1,1,2,318
55,1,1,46,319
28,1,1,38,319
80,1,6,0,320
78,1,6,0,320
56,1,1,8,321
55,1,1,40,321
63,1,6,0,322
62,1,6,0,323
64,1,6,0,324
45,1,1,60,324
35,1,1,40,324
17,2,6,0,324
11,2,0,0,324
51,1,6,0,325
49,1,1,40,325
22,3,6,40,325
20,1,3,24,325
19,3,3,0,325
59,1,1,40,326
69,1,6,0,327
58,1,1,40,328
24,1,1,40,329
22,2,1,30,329
0,0,0,0,329
40,1,1,40,330
39,1,1,50,330
9,2,0,0,330
7,2,0,0,330
5,2,0,0,330
2,0,0,0,330
30,1,6,0,331
30,1,6,0,331
25,1,6,0,331
60,1,6,0,332
50,1,1,40,333
21,2,1,30,333
87,1,6,0,334
84,1,6,0,334
52,1,3,0,335
49,1,6,0,335
47,1,1,40,336
41,1,1,40,336
18,2,6,0,336
18,2,6,0,336
